fft_bin_1,fft_bin_2,fft_bin_3,fft_bin_4,fft_bin_5,fft_bin_6,fft_bin_7,fft_bin_8,fft_bin_9,fft_bin_10,label
0.85,0.95,1.92,0.82,0.97,0.83,0.69,0.85,0.78,0.97,2
1.84,0.67,1.61,0.23,1.21,0.5,0.31,0.82,1.18,0.96,2
0.64,0.62,1.8,1.58,0.27,0.17,0.8,0.93,0.91,0.36,2
0.39,1.28,1.43,1.24,0.56,0.64,0.44,0.49,1.29,0.7,2
1.25,0.6,1.3,1.37,1.16,1.06,1.33,1.31,0.32,0.91,2
0.58,0.29,1.4,1.57,0.07,0.34,0.33,0.92,1.18,0.87,2
0.19,0.88,2.15,2.88,2.71,1.4,0.58,0.18,0.53,0.41,2
0.23,0.43,0.77,1.46,1.3,0.32,0.42,0.46,0.2,0.48,2
1.2,1.46,0.66,0.79,0.39,0.22,0.73,0.9,1.35,0.83,2
0.56,0.52,1.24,1.74,1.37,0.69,0.95,1.24,0.85,0.34,2
1.07,1.1,0.85,0.39,0.72,0.93,1.05,0.21,0.66,0.36,2
1.13,1.06,0.7,1.21,0.76,0.49,0.6,0.46,0.62,0.24,2
0.23,0.28,1.35,1.21,0.15,0.08,0.59,1.18,1.36,1.01,2
0.49,0.6,1.04,1.16,1.1,1.09,0.7,0.72,0.49,0.33,2
0.98,1.22,1.0,0.42,0.8,0.98,0.95,0.37,0.11,0.37,2
0.65,1.04,1.27,0.77,0.54,0.49,0.03,0.76,0.56,0.48,2
0.34,0.3,0.27,0.7,1.04,0.12,1.18,1.38,1.58,1.39,2
0.21,1.19,0.34,0.83,0.9,0.8,1.01,0.16,1.37,1.39,2
0.24,0.41,1.32,1.96,1.27,0.3,1.11,1.48,1.35,0.48,2
1.03,0.49,0.54,1.69,1.82,0.73,0.19,0.71,0.62,0.11,2
0.86,0.72,0.27,1.67,2.13,0.59,0.14,0.91,0.78,0.61,2
1.25,1.48,1.47,0.58,1.4,1.0,0.52,0.64,0.67,1.1,2
0.79,0.39,1.85,2.83,2.06,0.28,0.71,0.65,0.55,0.34,2
0.78,0.43,0.68,1.83,1.61,0.75,0.59,0.75,0.7,0.69,2
0.82,0.84,1.59,2.03,0.97,0.35,0.93,1.64,1.36,0.71,2
0.41,0.25,0.95,1.59,1.2,0.46,0.18,0.4,0.51,0.59,2
3.5,3.25,1.32,1.65,0.3,1.33,1.18,1.54,0.49,0.33,1
3.94,3.59,0.89,1.21,0.62,1.12,0.73,0.35,0.1,0.59,1
2.45,3.28,1.1,0.4,0.4,0.92,1.69,0.74,0.39,0.69,1
4.84,1.8,0.76,0.51,0.21,0.83,1.18,0.65,0.42,0.77,1
3.97,1.01,0.65,0.96,1.46,1.7,0.63,0.24,0.24,0.37,1
